model,raw_subject_macro,chronology_balanced_mean,chronology_balanced_std,chronology_balanced_p10,positive_later_macro,positive_earlier_macro
NPLUS__TG10_RIDGE_DIAGNOSTIC,0.6557642857142857,0.593590717299578,0.01590177470545219,0.5784388185654008,0.48933333333333334,0.6978481012658228
NUISANCE_ONLY,0.6777333333333333,0.5877257383966243,0.033219372705177025,0.5562995780590716,0.28933333333333333,0.8861181434599157
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,0.624945238095238,0.5709620253164557,0.09241076557940807,0.47364978902953586,0.458,0.6839240506329114
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,0.618804761904762,0.5619535864978903,0.03448086382717666,0.5308945147679325,0.458,0.6659071729957805
ASTRO__TG10_RIDGE_DIAGNOSTIC,0.5442738095238095,0.5371392405063291,0.012937372169023376,0.5236962025316456,0.5786666666666667,0.4956118143459915
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,0.5369428571428572,0.5301772151898734,0.02243595552386463,0.5078987341772152,0.5253333333333334,0.5350210970464135
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,0.46444285714285716,0.45938818565400846,0.06648517195087585,0.3936033755274262,0.47333333333333333,0.44544303797468354
