repeat,fold,pair_id,subject_id,axis,positive_earlier_calc,candidate_margin,candidate_correct,control_diff,control_correct
1,4,V4UDW2_018_P01,V4UDW2_018,STATUS,True,-5.066339951529267,0.0,-7.0,0.0
1,4,V4UDW2_024_P01,V4UDW2_024,STATUS,True,2.5500395446639175,1.0,-8.0,0.0
1,4,V4UDW2_038_P01,V4UDW2_038,STATUS,True,-0.47718728370397323,0.0,-15.0,0.0
1,4,V4UDW2_043_P01,V4UDW2_043,STATUS,True,6.691006591171185,1.0,2.0,1.0
1,4,V4UDW2_044_P01,V4UDW2_044,STATUS,False,-1.7947561954370654,0.0,-2.0,0.0
2,0,V4UD_007_P01,V4UD_007,COMPETITIVE,True,0.2665860615543428,1.0,0.0,0.5
2,0,V4UD_008_P01,V4UD_008,COMPETITIVE,True,-0.022498745880259796,0.0,0.0,0.5
2,0,V4UD_013_P01,V4UD_013,COMPETITIVE,False,0.5267299988088003,1.0,10.0,1.0
2,0,V4UD_004_P01,V4UD_004,COMPETITIVE,True,-1.1655246985973773,0.0,6.0,1.0
2,0,V4UD_024_P01,V4UD_024,COMPETITIVE,False,3.8618196008204717,1.0,20.0,1.0
2,0,V4UD_026_P01,V4UD_026,COMPETITIVE,True,0.09597413713264466,1.0,2.0,1.0
2,0,V4UD_038_P01,V4UD_038,PROJECT,False,0.47032020989491125,1.0,-1.0,0.0
2,0,V4UD_031_P01,V4UD_031,PROJECT,False,0.16967417574854407,1.0,3.0,1.0
2,0,V4UD_040_P01,V4UD_040,PROJECT,False,-2.429100305729971,0.0,-3.0,0.0
2,0,V4UD_042_P01,V4UD_042,PROJECT,False,-2.4161613114671048,0.0,-2.0,0.0
2,0,V4UD_060_P01,V4UD_060,STATUS,False,-1.9268588711721328,0.0,-11.0,0.0
2,0,V4UD_076_P01,V4UD_076,STATUS,True,-1.4191872619343804,0.0,-1.0,0.0
2,0,V4UD_086_P01,V4UD_086,STATUS,False,-3.1723553133472673,0.0,10.0,1.0
2,0,V4UDW2_003_P01,V4UDW2_003,COMPETITIVE,False,0.13908710784008385,1.0,-1.0,0.0
2,0,V4UDW2_004_P01,V4UDW2_004,PROJECT,True,0.24828981345364054,1.0,2.0,1.0
2,0,V4UDW2_016_P01,V4UDW2_016,STATUS,True,1.3448973287149057,1.0,-3.0,0.0
