axis,candidate,control,delta
COMPETITIVE,0.5387096774193548,0.5483870967741935,-0.009677419354838679
PROJECT,0.46399999999999997,0.62,-0.15600000000000003
STATUS,0.5222222222222223,0.5222222222222223,0.0
