preassigned_axis,n_pairs,n_subjects,candidate_balanced,control_balanced,delta_candidate_minus_control,candidate_positive_later,control_positive_later,candidate_positive_earlier,control_positive_earlier
COMPETITIVE,134,57,0.6876535682023486,0.4434959349593496,0.244157633242999,0.7268518518518517,0.4166666666666667,0.6484552845528455,0.4703252032520325
PROJECT,12,9,0.54,0.4916666666666667,0.04833333333333334,0.78,0.4,0.3,0.5833333333333334
STATUS,47,34,0.6732638888888889,0.34375,0.3295138888888889,0.6777777777777777,0.25,0.6687500000000001,0.4375
