collection_wave,n_pairs,n_subjects,candidate_balanced,control_balanced,delta_candidate_minus_control,candidate_positive_later,control_positive_later,candidate_positive_earlier,control_positive_earlier
E1,57,29,0.7219323671497584,0.3742753623188406,0.34765700483091777,0.7844444444444444,0.26666666666666666,0.6594202898550725,0.4818840579710145
E2,23,18,0.6176470588235294,0.49117647058823527,0.12647058823529417,0.6,0.6,0.6352941176470588,0.38235294117647056
ORIGINAL,113,53,0.662051282051282,0.4503205128205128,0.21173076923076928,0.7133333333333334,0.4083333333333333,0.6107692307692307,0.4923076923076923
