pair_id,subject_id,preassigned_axis,collection_wave,positive_earlier_calc,positive_year,negative_year,control_positive_score,control_negative_score,control_correct
PRIMARY_TRUSTED_0056,V5DEVX_154,COMPETITIVE,E1,0,2017,2013,37.0,42.0,0.0
PRIMARY_TRUSTED_0057,V5DEVX_154,COMPETITIVE,E1,0,2017,2015,37.0,47.0,0.0
PRIMARY_TRUSTED_0058,V5DEVE2_001,COMPETITIVE,E2,1,1984,1988,66.0,49.0,1.0
PRIMARY_TRUSTED_0059,V5DEVE2_001,COMPETITIVE,E2,0,1991,1988,58.0,49.0,1.0
PRIMARY_TRUSTED_0060,V5DEVE2_003,STATUS,E2,1,1972,1974,66.0,58.0,1.0
PRIMARY_TRUSTED_0061,V5DEVE2_007,COMPETITIVE,E2,1,1948,1952,68.0,73.0,0.0
PRIMARY_TRUSTED_0062,V5DEVE2_007,COMPETITIVE,E2,1,1950,1952,70.0,73.0,0.0
PRIMARY_TRUSTED_0063,V5DEVE2_009,STATUS,E2,1,1976,1980,83.0,71.0,1.0
PRIMARY_TRUSTED_0064,V5DEVE2_013,COMPETITIVE,E2,1,1978,1980,61.0,56.0,1.0
PRIMARY_TRUSTED_0065,V5DEVE2_013,COMPETITIVE,E2,0,1985,1980,62.0,56.0,1.0
PRIMARY_TRUSTED_0066,V5DEVE2_015,STATUS,E2,1,1967,1968,72.0,78.0,0.0
PRIMARY_TRUSTED_0067,V5DEVE2_022,COMPETITIVE,E2,1,1934,1935,69.0,69.0,0.5
PRIMARY_TRUSTED_0068,V5DEVE2_022,COMPETITIVE,E2,0,1936,1935,81.0,69.0,1.0
PRIMARY_TRUSTED_0069,V5DEVE2_027,STATUS,E2,1,1988,1992,67.0,63.0,1.0
PRIMARY_TRUSTED_0070,V5DEVE2_028,COMPETITIVE,E2,1,1984,1989,75.0,79.0,0.0
PRIMARY_TRUSTED_0071,V5DEVE2_042,STATUS,E2,1,1998,2000,67.0,69.0,0.0
PRIMARY_TRUSTED_0072,V5DEVE2_061,STATUS,E2,1,1953,1954,84.0,82.0,1.0
PRIMARY_TRUSTED_0073,V5DEVE2_080,STATUS,E2,1,1944,1945,50.0,53.0,0.0
PRIMARY_TRUSTED_0074,V5DEVE2_083,COMPETITIVE,E2,1,2001,2006,55.0,57.0,0.0
PRIMARY_TRUSTED_0075,V5DEVE2_106,COMPETITIVE,E2,1,2005,2008,57.0,62.0,0.0
PRIMARY_TRUSTED_0076,V5DEVE2_115,COMPETITIVE,E2,1,2004,2005,54.0,55.0,0.0
PRIMARY_TRUSTED_0077,V5DEVE2_128,STATUS,E2,1,1956,1958,62.0,66.0,0.0
PRIMARY_TRUSTED_0078,V5DEVE2_128,STATUS,E2,0,1960,1958,62.0,66.0,0.0
PRIMARY_TRUSTED_0079,V5DEVE2_154,COMPETITIVE,E2,0,1925,1924,81.0,86.0,0.0
PRIMARY_TRUSTED_0080,V5DEVE2_160,STATUS,E2,1,2024,2025,64.0,68.0,0.0
PRIMARY_TRUSTED_0081,V5DEV_001,COMPETITIVE,ORIGINAL,0,1991,1988,66.0,51.0,1.0
PRIMARY_TRUSTED_0082,V5DEV_001,COMPETITIVE,ORIGINAL,0,1992,1988,58.0,51.0,1.0
PRIMARY_TRUSTED_0083,V5DEV_003,COMPETITIVE,ORIGINAL,0,2000,1996,71.0,65.0,1.0
PRIMARY_TRUSTED_0084,V5DEV_005,COMPETITIVE,ORIGINAL,1,1997,1999,62.0,62.0,0.5
PRIMARY_TRUSTED_0085,V5DEV_005,COMPETITIVE,ORIGINAL,1,1997,2000,62.0,64.0,0.0
PRIMARY_TRUSTED_0086,V5DEV_005,COMPETITIVE,ORIGINAL,1,1998,1999,55.0,62.0,0.0
PRIMARY_TRUSTED_0087,V5DEV_005,COMPETITIVE,ORIGINAL,1,1998,2000,55.0,64.0,0.0
PRIMARY_TRUSTED_0088,V5DEV_005,COMPETITIVE,ORIGINAL,0,2000,1999,64.0,62.0,1.0
PRIMARY_TRUSTED_0089,V5DEV_007,COMPETITIVE,ORIGINAL,0,2010,2007,59.0,68.0,0.0
PRIMARY_TRUSTED_0090,V5DEV_008,COMPETITIVE,ORIGINAL,0,1998,1997,65.0,71.0,0.0
PRIMARY_TRUSTED_0091,V5DEV_008,COMPETITIVE,ORIGINAL,0,2000,1997,69.0,71.0,0.0
PRIMARY_TRUSTED_0092,V5DEV_009,COMPETITIVE,ORIGINAL,1,1984,1985,71.0,66.0,1.0
PRIMARY_TRUSTED_0093,V5DEV_010,COMPETITIVE,ORIGINAL,0,2014,2013,65.0,61.0,1.0
PRIMARY_TRUSTED_0094,V5DEV_011,COMPETITIVE,ORIGINAL,1,1996,1997,70.0,66.0,1.0
PRIMARY_TRUSTED_0095,V5DEV_011,COMPETITIVE,ORIGINAL,1,1996,1998,70.0,64.0,1.0
PRIMARY_TRUSTED_0096,V5DEV_012,COMPETITIVE,ORIGINAL,0,1954,1950,57.0,69.0,0.0
PRIMARY_TRUSTED_0097,V5DEV_012,COMPETITIVE,ORIGINAL,1,1954,1955,57.0,54.0,1.0
PRIMARY_TRUSTED_0098,V5DEV_013,COMPETITIVE,ORIGINAL,1,2014,2017,61.0,66.0,0.0
PRIMARY_TRUSTED_0099,V5DEV_013,COMPETITIVE,ORIGINAL,0,2022,2017,73.0,66.0,1.0
PRIMARY_TRUSTED_0100,V5DEV_014,COMPETITIVE,ORIGINAL,0,2015,2010,54.0,68.0,0.0
PRIMARY_TRUSTED_0101,V5DEV_014,COMPETITIVE,ORIGINAL,1,2015,2018,54.0,65.0,0.0
PRIMARY_TRUSTED_0102,V5DEV_014,COMPETITIVE,ORIGINAL,1,2016,2018,60.0,65.0,0.0
PRIMARY_TRUSTED_0103,V5DEV_014,COMPETITIVE,ORIGINAL,0,2019,2018,65.0,65.0,0.5
PRIMARY_TRUSTED_0104,V5DEV_015,COMPETITIVE,ORIGINAL,0,1999,1998,74.0,76.0,0.0
PRIMARY_TRUSTED_0105,V5DEV_015,COMPETITIVE,ORIGINAL,0,2000,1998,62.0,76.0,0.0
PRIMARY_TRUSTED_0106,V5DEV_017,COMPETITIVE,ORIGINAL,1,1956,1957,67.0,65.0,1.0
PRIMARY_TRUSTED_0107,V5DEV_020,COMPETITIVE,ORIGINAL,0,2013,2012,38.0,55.0,0.0
PRIMARY_TRUSTED_0108,V5DEV_022,COMPETITIVE,ORIGINAL,1,1928,1929,59.0,60.0,0.0
PRIMARY_TRUSTED_0109,V5DEV_023,COMPETITIVE,ORIGINAL,1,1965,1966,50.0,52.0,0.0
PRIMARY_TRUSTED_0110,V5DEV_023,COMPETITIVE,ORIGINAL,1,1965,1967,50.0,55.0,0.0
PRIMARY_TRUSTED_0111,V5DEV_023,COMPETITIVE,ORIGINAL,1,1965,1970,50.0,59.0,0.0
PRIMARY_TRUSTED_0112,V5DEV_023,COMPETITIVE,ORIGINAL,0,1967,1966,55.0,52.0,1.0
PRIMARY_TRUSTED_0113,V5DEV_023,COMPETITIVE,ORIGINAL,0,1968,1966,62.0,52.0,1.0
