feature_set,model,n_features,n_subjects,macro_pairwise,subject_hit_rate,median_sep,mean_std_sep
PRODUCTION_CONTROL,candle.close,0,23,0.48454106280193243,0.4782608695652174,-1.3333333333333428,-0.09443254132486739
B_PLUS_TENGOD_HIDDEN,PairwiseLogit,186,23,0.5981711525189786,0.6956521739130435,1.118469762937227,0.374920669655555
C_PLUS_RELATIONS,HistGradientBoosting,207,23,0.574223602484472,0.6521739130434783,0.010783375163199826,0.17170045362208874
D_PLUS_ENGINE_STRENGTH,HistGradientBoosting,215,23,0.5487577639751552,0.5652173913043478,0.011882589935965138,0.12132356706418268
A_BASIC,PairwiseLogit,166,23,0.5443064182194617,0.5652173913043478,0.7186234744065751,0.1626123643560955
C_PLUS_RELATIONS,PairwiseLogit,207,23,0.5368184955141476,0.6086956521739131,0.7264012675124647,0.1212721063118747
D_PLUS_ENGINE_STRENGTH,PairwiseLogit,215,23,0.5368184955141476,0.6086956521739131,0.7264012675125178,0.12127210631187087
B_PLUS_TENGOD_HIDDEN,HistGradientBoosting,186,23,0.5044513457556935,0.5217391304347826,0.012276360940518316,-0.03950685482420874
A_BASIC,HistGradientBoosting,166,23,0.4290890269151138,0.391304347826087,-0.005399415121864037,-0.18863017745212465
