model,overall,p10,delta_vs_nuisance,p_vs_nuisance,delta_vs_control,p_vs_control,origin_min,overall_ge_055,delta_nuisance_ge_001,boot_nuisance_ge_080,delta_control_ge_001,boot_control_ge_080,origin_min_ge_050,p10_ge_048,all_gates
ALL_ELASTICNET_AUTO,0.5050724637681159,0.2893719806763285,0.029710144927536243,0.7194,0.028260869565217395,0.68185,0.4873873873873875,False,True,False,True,False,False,False,False
ALL_L2,0.48057971014492756,0.4572463768115942,0.005217391304347833,0.53045,0.0037681159420289985,0.52675,0.46198198198198187,False,False,False,False,False,False,False,False
TG10_STEM_BRANCH_L2,0.47908212560386476,0.44420289855072465,0.0037198067632850038,0.51835,0.002270531400966183,0.51415,0.4673913043478261,False,False,False,False,False,False,False,False
TG10_STEM_L2,0.45371980676328505,0.3869565217391304,-0.021642512077294673,0.36585,-0.02309178743961354,0.37335,0.43260869565217386,False,False,False,False,False,False,False,False
TG10_SB_RELATIONS_L2,0.4444444444444445,0.3922705314009662,-0.030917874396135272,0.3045,-0.03236714975845411,0.29145,0.41441441441441446,False,False,False,False,False,False,False,False
TG10_SB_STRENGTH_L2,0.42613526570048305,0.3843478260869565,-0.049227053140096615,0.2181,-0.05067632850241546,0.187,0.41521739130434776,False,False,False,False,False,False,False,False
TG5_GROUP_L2,0.4225845410628019,0.39108695652173914,-0.05277777777777779,0.1985,-0.0542270531400966,0.207,0.41195652173913044,False,False,False,False,False,False,False,False
