axis,candidate,control,delta
COMPETITIVE,0.4967741935483871,0.5161290322580645,-0.019354838709677413
PROJECT,0.48,0.6,-0.12
STATUS,0.5177777777777777,0.4888888888888888,0.028888888888888853
