repeat,candidate,control,delta
0,0.5346534653465347,0.5247524752475248,0.00990099009900991
1,0.5841584158415841,0.5247524752475248,0.05940594059405935
2,0.46534653465346537,0.5247524752475248,-0.0594059405940594
3,0.48514851485148514,0.5247524752475248,-0.03960396039603964
4,0.49504950495049505,0.5247524752475248,-0.02970297029702973
5,0.5445544554455446,0.5247524752475248,0.01980198019801982
6,0.49504950495049505,0.5247524752475248,-0.02970297029702973
7,0.43564356435643564,0.5247524752475248,-0.08910891089108913
8,0.45544554455445546,0.5247524752475248,-0.06930693069306931
9,0.5247524752475248,0.5247524752475248,0.0
