repeat,fold,pair_id,subject_id,axis,candidate_margin,candidate_correct,control_margin,control_correct
0,0,V4UD_001_P01,V4UD_001,COMPETITIVE,1.2703488731066492,1.0,9.0,1.0
0,0,V4UD_014_P01,V4UD_014,COMPETITIVE,-0.3078440085257132,0.0,5.0,1.0
0,0,V4UD_015_P01,V4UD_015,COMPETITIVE,0.0995361418549602,1.0,1.0,1.0
0,0,V4UD_017_P01,V4UD_017,COMPETITIVE,0.22951099097947913,1.0,3.0,1.0
0,0,V4UD_018_P01,V4UD_018,COMPETITIVE,0.010930401376082163,1.0,-2.0,0.0
0,0,V4UD_030_P01,V4UD_030,COMPETITIVE,-0.18917525212477712,0.0,-12.0,0.0
0,0,V4UD_046_P01,V4UD_046,PROJECT,0.4456815656750602,1.0,4.0,1.0
0,0,V4UD_049_P01,V4UD_049,PROJECT,0.862907209821569,1.0,6.0,1.0
0,0,V4UD_051_P01,V4UD_051,PROJECT,0.41805960474223314,1.0,-2.0,0.0
0,0,V4UD_074_P01,V4UD_074,STATUS,0.12396478411517707,1.0,2.0,1.0
0,0,V4UD_078_P01,V4UD_078,STATUS,0.4013222133850108,1.0,-17.0,0.0
0,0,V4UD_088_P01,V4UD_088,STATUS,0.6867619396808257,1.0,-7.0,0.0
0,0,V4UD_093_P01,V4UD_093,STATUS,-1.5206140272346962,0.0,-5.0,0.0
0,0,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,-0.21708308984486127,0.0,-1.0,0.0
0,0,V4UDW2_007_P01,V4UDW2_007,PROJECT,-0.593175546905175,0.0,20.0,1.0
0,0,V4UDW2_009_P01,V4UDW2_009,PROJECT,-0.213595151213849,0.0,-8.0,0.0
0,0,V4UDW2_015_P01,V4UDW2_015,STATUS,-0.8364354876720465,0.0,-1.0,0.0
0,0,V4UDW2_021_P01,V4UDW2_021,STATUS,0.021876942721509657,1.0,1.0,1.0
0,0,V4UDW2_023_P01,V4UDW2_023,STATUS,-0.2078214146744265,0.0,-5.0,0.0
0,0,V4UDW2_030_P01,V4UDW2_030,STATUS,0.9003852081458762,1.0,0.0,0.0
0,0,V4UDW2_036_P01,V4UDW2_036,STATUS,0.30788935921024974,1.0,-3.0,0.0
0,1,V4UD_009_P01,V4UD_009,COMPETITIVE,-1.0428414319144756,0.0,2.0,1.0
0,1,V4UD_010_P01,V4UD_010,COMPETITIVE,0.42641413508176546,1.0,-1.0,0.0
0,1,V4UD_002_P01,V4UD_002,COMPETITIVE,-0.6169526026361475,0.0,-3.0,0.0
0,1,V4UD_003_P01,V4UD_003,COMPETITIVE,0.7944428948217835,1.0,-4.0,0.0
0,1,V4UD_020_P01,V4UD_020,COMPETITIVE,-0.25588411297517977,0.0,6.0,1.0
0,1,V4UD_027_P01,V4UD_027,COMPETITIVE,-1.06752855976085,0.0,-3.0,0.0
0,1,V4UD_042_P01,V4UD_042,PROJECT,-1.089448073796431,0.0,-2.0,0.0
0,1,V4UD_043_P01,V4UD_043,PROJECT,0.5773038804753757,1.0,-12.0,0.0
0,1,V4UD_050_P01,V4UD_050,PROJECT,0.9396943175077358,1.0,-10.0,0.0
0,1,V4UD_057_P01,V4UD_057,STATUS,0.35457156469717216,1.0,0.0,0.0
0,1,V4UD_065_P01,V4UD_065,STATUS,-0.8743148574244668,0.0,-22.0,0.0
0,1,V4UD_066_P01,V4UD_066,STATUS,-0.15001865641584633,0.0,7.0,1.0
0,1,V4UD_080_P01,V4UD_080,STATUS,0.6378539521238346,1.0,3.0,1.0
0,1,V4UD_084_P01,V4UD_084,STATUS,1.144563393118415,1.0,2.0,1.0
0,1,V4UD_094_P01,V4UD_094,STATUS,0.9760183853213243,1.0,7.0,1.0
0,1,V4UD_098_P01,V4UD_098,STATUS,0.2321189929689771,1.0,7.0,1.0
0,1,V4UDW2_004_P01,V4UDW2_004,PROJECT,0.635649305771768,1.0,2.0,1.0
0,1,V4UDW2_005_P01,V4UDW2_005,PROJECT,0.09002080710761139,1.0,3.0,1.0
0,1,V4UDW2_016_P01,V4UDW2_016,STATUS,-0.7007586012590598,0.0,-3.0,0.0
0,1,V4UDW2_029_P01,V4UDW2_029,STATUS,0.11883187282624857,1.0,5.0,1.0
0,2,V4UD_016_P01,V4UD_016,COMPETITIVE,1.0495392032693096,1.0,-1.0,0.0
0,2,V4UD_019_P01,V4UD_019,COMPETITIVE,-0.7528758202293416,0.0,-6.0,0.0
0,2,V4UD_021_P01,V4UD_021,COMPETITIVE,-0.5448406840547835,0.0,5.0,1.0
0,2,V4UD_023_P01,V4UD_023,COMPETITIVE,0.6549529475986483,1.0,-1.0,0.0
0,2,V4UD_024_P01,V4UD_024,COMPETITIVE,0.6908514099392339,1.0,20.0,1.0
0,2,V4UD_026_P01,V4UD_026,COMPETITIVE,-0.253876993437727,0.0,2.0,1.0
0,2,V4UD_039_P01,V4UD_039,PROJECT,-0.9296137821680639,0.0,7.0,1.0
0,2,V4UD_031_P01,V4UD_031,PROJECT,-1.1067797596202693,0.0,3.0,1.0
0,2,V4UD_040_P01,V4UD_040,PROJECT,0.6323632907337293,1.0,-3.0,0.0
0,2,V4UD_053_P01,V4UD_053,PROJECT,-0.3466550599080946,0.0,0.0,0.0
0,2,V4UD_061_P01,V4UD_061,STATUS,-0.5652707538004739,0.0,9.0,1.0
0,2,V4UD_069_P01,V4UD_069,STATUS,-0.43144798962794084,0.0,-15.0,0.0
0,2,V4UD_081_P01,V4UD_081,STATUS,0.1824004495474027,1.0,4.0,1.0
0,2,V4UD_085_P01,V4UD_085,STATUS,0.0860439053631208,1.0,1.0,1.0
0,2,V4UD_091_P01,V4UD_091,STATUS,-0.24159240864369586,0.0,10.0,1.0
0,2,V4UDW2_006_P01,V4UDW2_006,PROJECT,0.5445425992207581,1.0,14.0,1.0
0,2,V4UDW2_020_P01,V4UDW2_020,STATUS,-0.2408759659280139,0.0,8.0,1.0
0,2,V4UDW2_022_P01,V4UDW2_022,STATUS,0.2046848714110901,1.0,8.0,1.0
