C,inner_balanced_macro,inner_p10,repeat,fold,model
0.01,0.5005050505050505,0.4306060606060606,0,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.4928661616161616,0.4272727272727273,0,3,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.556845746845747,0.4400671550671551,0,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.5512901912901912,0.43874114774114775,0,4,TG10_SHARED_RIDGE_BALANCED
0.3,0.540995115995116,0.4199084249084249,0,4,TG10_SHARED_RIDGE_BALANCED
0.1,0.5232295482295483,0.4015567765567766,0,4,TG10_SHARED_RIDGE_BALANCED
0.03,0.49554334554334556,0.3589377289377289,0,4,TG10_SHARED_RIDGE_BALANCED
0.01,0.49249084249084246,0.38018315018315013,0,4,TG10_SHARED_RIDGE_BALANCED
0.003,0.4894485144485145,0.39764346764346764,0,4,TG10_SHARED_RIDGE_BALANCED
3.0,0.6742216117216117,0.6332600732600733,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6110571835571835,0.5331056166056166,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.5922842897842897,0.5001343101343101,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5574358974358975,0.4246520146520147,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5449898249898251,0.38752136752136757,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5208485958485959,0.4001282051282051,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.4876068376068376,0.36846153846153845,0,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
3.0,0.5821308321308322,0.459018759018759,1,0,TG10_SHARED_RIDGE_BALANCED
1.0,0.5806878306878307,0.43174603174603177,1,0,TG10_SHARED_RIDGE_BALANCED
0.1,0.5571789321789321,0.45865800865800865,1,0,TG10_SHARED_RIDGE_BALANCED
0.3,0.5456349206349206,0.40476190476190477,1,0,TG10_SHARED_RIDGE_BALANCED
0.003,0.5333994708994708,0.46468253968253964,1,0,TG10_SHARED_RIDGE_BALANCED
0.01,0.521494708994709,0.43492063492063493,1,0,TG10_SHARED_RIDGE_BALANCED
0.03,0.5211940836940836,0.40800865800865793,1,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.7291666666666666,0.6543650793650794,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6898448773448772,0.6008658008658008,1,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
