model,primary_balanced,primary_p10,positive_later,positive_earlier,broad_balanced,supported_wave_floor,primary_balanced_ge_055,p10_ge_050,positive_later_ge_050,positive_earlier_ge_050,broad_balanced_ge_053,wave_floor_ge_048,all_gates,delta_vs_shared_ge_001,bootstrap_p_ge_080
TG10_SHARED_RIDGE_BALANCED,0.5661518987341772,0.555620253164557,0.5713333333333334,0.560970464135021,0.5576024096385542,0.4717647058823529,True,True,True,True,True,False,False,,
TG10_MULTITASK_EFFECT_RIDGE_BALANCED,0.6767721518987342,0.6579282700421941,0.7233333333333334,0.6302109704641351,0.6366787148594377,0.6176470588235294,True,True,True,True,True,True,True,True,True
