feature_set,repeat,seed,n_subjects,macro_pairwise,subject_hit_rate,median_sep
SEWOON_ONLY,0,20260815,23,0.5258454106280194,0.6086956521739131,0.3933553656476825
SEWOON_ONLY,1,20260816,23,0.6153899240855762,0.6521739130434783,0.9532828879961335
SEWOON_ONLY,2,20260817,23,0.5685300207039338,0.6086956521739131,0.5890615446155419
SEWOON_ONLY,3,20260818,23,0.5057971014492754,0.4782608695652174,-0.15485373884947295
SEWOON_ONLY,4,20260819,23,0.4852657004830918,0.5652173913043478,0.2831898669373978
SEWOON_ONLY,5,20260820,23,0.5642512077294686,0.6086956521739131,0.3659602816422069
SEWOON_ONLY,6,20260821,23,0.6298826777087646,0.6521739130434783,1.0463581802572732
SEWOON_ONLY,7,20260822,23,0.5487232574189097,0.6086956521739131,0.7912034047637814
SEWOON_ONLY,8,20260823,23,0.5466183574879226,0.6086956521739131,0.49870198534924015
SEWOON_ONLY,9,20260824,23,0.5419599723947551,0.5652173913043478,0.30975459589750176
SEWOON_ONLY,10,20260825,23,0.5739475500345066,0.6086956521739131,0.5353196214844849
SEWOON_ONLY,11,20260826,23,0.4840579710144928,0.4782608695652174,-0.023626360781118683
SEWOON_ONLY,12,20260827,23,0.5050724637681159,0.5652173913043478,0.13199763933360353
SEWOON_ONLY,13,20260828,23,0.46545893719806763,0.43478260869565216,-0.4801522433644097
SEWOON_ONLY,14,20260829,23,0.6298826777087647,0.6086956521739131,0.879024682293968
SEWOON_ONLY,15,20260830,23,0.5641821946169773,0.6086956521739131,0.31228648960617866
SEWOON_ONLY,16,20260831,23,0.5218771566597653,0.43478260869565216,-0.03156027702379065
SEWOON_ONLY,17,20260832,23,0.5393719806763284,0.5217391304347826,0.2700527176007957
SEWOON_ONLY,18,20260833,23,0.4570048309178744,0.5217391304347826,0.17754086880219333
SEWOON_ONLY,19,20260834,23,0.5866459627329192,0.5652173913043478,0.47673459208546504
SEWOON_ONLY,20,20260835,23,0.4283643892339545,0.34782608695652173,-0.6063959819439221
SEWOON_ONLY,21,20260836,23,0.5970324361628709,0.6521739130434783,0.42460354416655177
SEWOON_ONLY,22,20260837,23,0.5199447895100069,0.5652173913043478,0.1882638038021759
SEWOON_ONLY,23,20260838,23,0.4989648033126294,0.4782608695652174,-0.04554230721202504
SEWOON_ONLY,24,20260839,23,0.6095928226363009,0.6521739130434783,0.9264754416762294
SEWOON_ONLY,25,20260840,23,0.5698067632850242,0.6521739130434783,0.48435076415839506
SEWOON_ONLY,26,20260841,23,0.5541062801932367,0.5217391304347826,0.07809921091911332
SEWOON_ONLY,27,20260842,23,0.43526570048309177,0.43478260869565216,-0.6184730803758131
SEWOON_ONLY,28,20260843,23,0.518840579710145,0.5652173913043478,0.08288819919627355
SEWOON_ONLY,29,20260844,23,0.5434092477570739,0.6521739130434783,0.6800089016227167
SEWOON_ONLY,30,20260845,23,0.5414768806073154,0.6086956521739131,0.4320728868664507
SEWOON_ONLY,31,20260846,23,0.5577294685990338,0.5217391304347826,0.7102155309851728
SEWOON_ONLY,32,20260847,23,0.5369565217391304,0.6086956521739131,0.5198747431307608
SEWOON_ONLY,33,20260848,23,0.6074534161490682,0.782608695652174,0.8138850680675137
SEWOON_ONLY,34,20260849,23,0.5428571428571428,0.6086956521739131,0.38872628973321843
SEWOON_ONLY,35,20260850,23,0.6226363008971706,0.6956521739130435,0.5222780263628588
