model,pairwise_mean,pairwise_median,pairwise_sd,pairwise_p10,pairwise_p90,hit_mean,selected_features_mean,delta_vs_TENGOD
TENGOD_FIXED,0.5787320925771218,0.5488721804511278,0.10946152167429378,0.4759259259259259,0.7512531328320802,0.6038986354775828,10.0,0.0
ALL_L2,0.5421635879823015,0.5472222222222222,0.059899861200894994,0.4733333333333333,0.622781954887218,0.5838206627680312,302.0,-0.036568504594820306
ELASTICNET_AUTO,0.5314875150840063,0.5219298245614035,0.07463765662832203,0.45929824561403504,0.6236888517590272,0.5407407407407407,64.13333333333334,-0.0472445774931155
STABILITY_SELECTED,0.5299108109780625,0.5156641604010025,0.07153058160082199,0.4465042235217674,0.6161663417803768,0.5169590643274854,25.2,-0.048821281599059296
HGB_CONTEXTUAL,0.5250966923481543,0.5339181286549707,0.06806664608761927,0.43988304093567254,0.6091910331384016,0.5228070175438596,302.0,-0.05363540022896751
