astrology_scored,axis,birth_date,birth_ok,birth_place,birth_time,birth_year,candidate_source,eligible,event_collection_started,gender,latitude,longitude,name,norm_name,prior_used,role_family,role_qid,seed_origin,selection_information_used,source_name,source_row_key,utc_offset,wave,wikidata_id,wikidata_sitelinks
False,PROJECT,1909-02-03,True,"Carcassonne, France",17:00,1909.0,V5_WIKIDATA_EXPANSION,True,False,male,43.213,2.356,André Cayatte,andrecayatte,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,André Cayatte,AndréCayatte1909,+00:09,V5_ROLE_ONLY_EXPANSION,Q517725,
False,PROJECT,1911-12-29,True,"Paris, France",04:15,1911.0,V5_WIKIDATA_EXPANSION,True,False,male,48.857,2.351,André Claveau,andreclaveau,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,André Claveau,AndréClaveau1911,+00:00,V5_ROLE_ONLY_EXPANSION,Q313986,
False,PROJECT,1926-03-21,True,"Oud-Heverlee, Belgium",22:00,1926.0,V5_WIKIDATA_EXPANSION,True,False,male,50.838,4.663,André Delvaux,andredelvaux,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,André Delvaux,AndréDelvaux1926,+00:00,V5_ROLE_ONLY_EXPANSION,Q518295,
False,PROJECT,1901-11-03,True,"Paris, France",16:00,1901.0,V5_WIKIDATA_EXPANSION,True,False,male,48.857,2.351,André Malraux,andremalraux,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,André Malraux,AndréMalraux1901,+00:09,V5_ROLE_ONLY_EXPANSION,Q151164,
False,PROJECT,1962-11-29,True,"Toms River, NJ, United States",02:37,1962.0,V5_WIKIDATA_EXPANSION,True,False,male,39.953,-74.198,Andrew McCarthy,andrewmccarthy,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Andrew McCarthy,AndrewMcCarthy1962,-05:00,V5_ROLE_ONLY_EXPANSION,Q457836,
False,PROJECT,1958-03-05,True,"Manchester, United Kingdom",06:30,1958.0,V5_WIKIDATA_EXPANSION,True,False,male,53.481,-2.234,Andy Gibb,andygibb,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Andy Gibb,AndyGibb1958,+00:00,V5_ROLE_ONLY_EXPANSION,Q176537,
False,PROJECT,1926-06-01,True,"Mount Airy, NC, United States",15:00,1926.0,V5_WIKIDATA_EXPANSION,True,False,male,36.5,-80.605,Andy Griffith,andygriffith,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Andy Griffith,AndyGriffith1926,-04:00,V5_ROLE_ONLY_EXPANSION,Q312252,
False,PROJECT,1927-12-03,True,"Wall Lake, SD, United States",06:00,1927.0,V5_WIKIDATA_EXPANSION,True,False,male,43.543,-96.95,Andy Williams,andywilliams,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Andy Williams,AndyWilliams1927,-06:00,V5_ROLE_ONLY_EXPANSION,Q214548,
False,PROJECT,1975-06-04,True,"Los Angeles, CA, United States",09:09,1975.0,V5_WIKIDATA_EXPANSION,True,False,female,34.052,-118.243,Angelina Jolie,angelinajolie,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Angelina Jolie,AngelinaJolie1975,-07:00,V5_ROLE_ONLY_EXPANSION,Q13909,
False,PROJECT,1950-02-12,True,"Cuggiono, Italy",10:45,1950.0,V5_WIKIDATA_EXPANSION,True,False,male,45.506,8.817,Angelo Branduardi,angelobranduardi,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Angelo Branduardi,AngeloBranduardi1950,+01:00,V5_ROLE_ONLY_EXPANSION,Q25153,
