axis,role_family,role_qid,wikidata_id,name,norm_name,wikidata_sitelinks,seed_origin,selection_information_used,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,eligible,prior_used,birth_ok,wave,event_collection_started,astrology_scored
COMPETITIVE,athlete,Q2066131,Q62479,Ernst Baier,ernstbaier,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,ErnstBaier1905,Ernst Baier,male,1905-09-27,23:45,+01:00,1905,"Zittau, Germany",14.809,50.899,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q471727,Ezzard Charles,ezzardcharles,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,EzzardCharles1921,Ezzard Charles,male,1921-07-07,21:00,-04:00,1921,"Lawrenceville, GA, United States",-83.988,33.955,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q717369,Fabrice Tiozzo,fabricetiozzo,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FabriceTiozzo1969,Fabrice Tiozzo,male,1969-05-08,08:30,+01:00,1969,"Saint-Denis, France",2.365,48.936,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q314051,Floyd Patterson,floydpatterson,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FloydPatterson1935,Floyd Patterson,male,1935-01-04,14:30,-05:00,1935,"Waco, NC, United States",-81.428,35.362,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q3080932,Francesco Cancellotti,francescocancellotti,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FrancescoCancellotti1963,Francesco Cancellotti,male,1963-02-27,20:00,+01:00,1963,"Perugia, Italy",12.39,43.112,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q517835,Francesco Damiani,francescodamiani,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FrancescoDamiani1958,Francesco Damiani,male,1958-10-04,18:15,+01:00,1958,"Bagnacavallo, Italy",11.978,44.413,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q1918,Franck Ribéry,franckribery,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FranckRibéry1983,Franck Ribéry,male,1983-04-07,17:30,+02:00,1983,"Boulogne-sur-Mer, France",1.615,50.726,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q1646246,Freddie Miller,freddiemiller,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FreddieMiller1911,Freddie Miller,male,1911-04-03,03:00,-05:00,1911,"Cincinnati, OH, United States",-84.514,39.104,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q22717,Fritz Walter,fritzwalter,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,FritzWalter1920,Fritz Walter,male,1920-10-31,21:15,+01:00,1920,"Kaiserslautern, Germany",7.769,49.445,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q186429,Gaël Monfils,gaelmonfils,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GaëlMonfils1986,Gaël Monfils,male,1986-09-01,04:50,+02:00,1986,"Paris, France",2.351,48.857,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
