pool,rows,subjects,exact_match_rows,mismatched_rows,total_feature_mismatches,exact_row_match_rate
NEW_DEV_2_CONSUMED,200,100,200,0,0,1.0
V2_NEW_DEV,216,70,216,0,0,1.0
