axis,model,reference,n_subjects,observed_delta,ci025,ci975,p_delta_gt_0,interpretation_allowed
RECOGNITION,TG10_SB_STRENGTH_L2,NUISANCE_AGE_AXIS,3,0.2333333333333333,-0.09999999999999998,0.6,0.9631,False
RECOGNITION,TG10_SB_STRENGTH_L2,CONTROL_FIXED,3,-0.09999999999999999,-0.4000000000000001,0.20000000000000004,0.2532,False
RECOGNITION,TG5_GROUP_L2,NUISANCE_AGE_AXIS,3,0.08333333333333336,0.0,0.20000000000000004,0.9635,False
RECOGNITION,TG5_GROUP_L2,CONTROL_FIXED,3,-0.25,-1.0,0.20000000000000004,0.294,False
STATUS,ALL_ELASTICNET_AUTO,NUISANCE_AGE_AXIS,9,-0.11111111111111109,-0.39999999999999997,0.1333333333333334,0.239,False
STATUS,ALL_ELASTICNET_AUTO,CONTROL_FIXED,9,-0.24074074074074073,-0.6111111111111112,0.1741666666666654,0.1213,False
STATUS,ALL_L2,NUISANCE_AGE_AXIS,9,-0.08888888888888889,-0.37777777777777777,0.13333333333333336,0.2587,False
STATUS,ALL_L2,CONTROL_FIXED,9,-0.2185185185185185,-0.662962962962963,0.2592592592592593,0.1766,False
STATUS,TG10_STEM_BRANCH_L2,NUISANCE_AGE_AXIS,9,0.007407407407407418,-0.2,0.2888888888888889,0.4938,False
STATUS,TG10_STEM_BRANCH_L2,CONTROL_FIXED,9,-0.1222222222222222,-0.4666666666666667,0.26666666666666666,0.2557,False
STATUS,TG10_STEM_L2,NUISANCE_AGE_AXIS,9,-0.07407407407407407,-0.32592592592592595,0.1703703703703704,0.2739,False
STATUS,TG10_STEM_L2,CONTROL_FIXED,9,-0.20370370370370366,-0.5925925925925927,0.20370370370370372,0.1574,False
STATUS,TG10_SB_RELATIONS_L2,NUISANCE_AGE_AXIS,9,0.09259259259259262,-0.09629629629629627,0.34814814814814815,0.7637,False
STATUS,TG10_SB_RELATIONS_L2,CONTROL_FIXED,9,-0.03703703703703702,-0.37037037037037035,0.3111111111111111,0.4122,False
STATUS,TG10_SB_STRENGTH_L2,NUISANCE_AGE_AXIS,9,-0.09259259259259259,-0.35555555555555557,0.18518518518518517,0.2375,False
STATUS,TG10_SB_STRENGTH_L2,CONTROL_FIXED,9,-0.2222222222222222,-0.5777777777777778,0.1888888888888889,0.1435,False
STATUS,TG5_GROUP_L2,NUISANCE_AGE_AXIS,9,-0.1574074074074074,-0.4888888888888888,0.14629629629629629,0.1686,False
STATUS,TG5_GROUP_L2,CONTROL_FIXED,9,-0.28703703703703703,-0.6168055555555555,0.07037037037037036,0.0581,False
