model,axis,pair_origin,n_pairs,n_subjects,subject_macro_pairwise
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,1.0
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.9473684210526315
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,1.0
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.5
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,1.0
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,1.0
TG10_SB_RELATIONS_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.48235294117647054
TG10_SB_RELATIONS_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.28717948717948716
TG10_SB_RELATIONS_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.3368421052631579
TG10_SB_RELATIONS_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.45
TG10_SB_RELATIONS_L2,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.4666666666666666
TG10_SB_RELATIONS_L2,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.7428571428571429
TG10_SB_RELATIONS_L2,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.5399999999999999
TG10_SB_STRENGTH_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.4764705882352941
TG10_SB_STRENGTH_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.3656410256410257
TG10_SB_STRENGTH_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.3263157894736842
TG10_SB_STRENGTH_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.44000000000000006
TG10_SB_STRENGTH_L2,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.4000000000000001
TG10_SB_STRENGTH_L2,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.5142857142857143
TG10_SB_STRENGTH_L2,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.4600000000000001
TG10_STEM_BRANCH_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.5294117647058822
TG10_STEM_BRANCH_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.30820512820512824
TG10_STEM_BRANCH_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.35789473684210527
TG10_STEM_BRANCH_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.55
TG10_STEM_BRANCH_L2,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.43333333333333335
TG10_STEM_BRANCH_L2,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.6285714285714284
TG10_STEM_BRANCH_L2,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.52
TG10_STEM_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.49411764705882355
TG10_STEM_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.3851282051282051
TG10_STEM_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.32105263157894737
TG10_STEM_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.55
TG10_STEM_L2,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.26666666666666666
TG10_STEM_L2,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.6571428571428573
TG10_STEM_L2,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.44000000000000006
TG5_GROUP_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.44117647058823534
TG5_GROUP_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.41025641025641024
TG5_GROUP_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.34736842105263155
TG5_GROUP_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.5
TG5_GROUP_L2,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.25
TG5_GROUP_L2,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.5857142857142856
TG5_GROUP_L2,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.32999999999999996
