feature_set,observed_loso,null_mean,null_p95,p_value
TENGOD,0.6438750862663907,0.4998237060041407,0.649035541752933,0.05588822355289421
SHINSAL_ALL,0.647912353347136,0.4934567632850242,0.6315674603174602,0.033932135728542916
