candidate,n_features,repeated_cv_mean,repeated_cv_p10,loso,control,loso_delta_vs_control,permutation_p,bootstrap_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_delta_gt_0,subjects_better,subjects_equal,subjects_worse
SHINSAL_ALL,43,0.5865031055900621,0.5328778467908905,0.647912353347136,0.48454106280193243,0.1633712905452036,0.033932135728542916,0.1633712905452036,-0.007044513457556935,0.34009963768115914,0.9702,13,5,5
TENGOD,10,0.6057836438923396,0.5621911663216012,0.6438750862663907,0.48454106280193243,0.15933402346445824,0.05588822355289421,0.15933402346445827,-0.09626423395445134,0.3996437198067627,0.89285,14,3,6
