feature_set,pairwise_mean,pairwise_median,pairwise_sd,pairwise_p10,pairwise_p90,hit_mean,vs_control
TENGOD,0.6057836438923396,0.6115079365079366,0.03194163644751842,0.5621911663216012,0.6426673567977916,0.643913043478261,0.1212425810904072
SHINSAL_ALL,0.5865031055900621,0.5864734299516909,0.05106020140379995,0.5328778467908905,0.6470393374741201,0.5843478260869565,0.1019620427881297
SHINSAL_NOBLE,0.5319020013802622,0.5356970324361627,0.04111914433779826,0.48493098688750863,0.588264320220842,0.662608695652174,0.04736093857832979
SHINSAL_SCALAR,0.5278400621118012,0.5580745341614906,0.04369674368933601,0.46747412008281575,0.5580745341614906,0.33565217391304353,0.0432989993098688
SHINSAL_OTHER,0.5276708074534162,0.5264837819185646,0.05167738260932345,0.45710489993098685,0.5879813664596274,0.5391304347826087,0.04312974465148378
SHINSAL_GONGMANG,0.49518944099378887,0.4982919254658385,0.012269313739714197,0.4799689440993789,0.5091614906832298,0.10478260869565217,0.010648378191856434
