family,feature,nonzero_rows,nonzero_share,n_unique
SHINSAL_OTHER,shinsal__dw_신살_흉살__과숙_,6,0.05309734513274336,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__도화_,20,0.17699115044247787,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__망신_,26,0.23008849557522124,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__양인_,14,0.12389380530973451,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__역마_,14,0.12389380530973451,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__count,90,0.7964601769911505,4
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__록신_,8,0.07079646017699115,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__반안_,30,0.26548672566371684,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__장성_,30,0.26548672566371684,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__천희_,15,0.13274336283185842,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__홍란_,12,0.10619469026548672,2
SHINSAL_OTHER,shinsal__sw_세운_신살_길신__화개_,30,0.26548672566371684,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__count,72,0.6371681415929203,5
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__겁살_,18,0.1592920353982301,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__고진_,6,0.05309734513274336,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__과숙_,12,0.10619469026548672,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__도화_,34,0.3008849557522124,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__망신_,18,0.1592920353982301,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__양인_,8,0.07079646017699115,2
SHINSAL_OTHER,shinsal__sw_세운_신살_흉살__역마_,18,0.1592920353982301,2
