family,n_features,median_nonzero_share,min_nonzero_share,max_nonzero_share,median_n_unique
SHINSAL_SCALAR,1,0.36283185840707965,0.36283185840707965,0.36283185840707965,7.0
SHINSAL_GONGMANG,5,1.0,0.1504424778761062,1.0,4.0
SHINSAL_NOBLE,7,0.1415929203539823,0.008849557522123894,0.9380530973451328,2.0
TENGOD,10,0.19026548672566373,0.07079646017699115,0.37168141592920356,2.0
SHINSAL_OTHER,30,0.1592920353982301,0.05309734513274336,0.831858407079646,2.0
SHINSAL_ALL,43,0.17699115044247787,0.008849557522123894,1.0,2.0
