candidate,pairwise_mean,delta_vs_TENGOD,delta_vs_CONTROL
TENGOD+YONGSHIN+UNSEONG,0.5661207729468599,-0.03579503105590065,0.08157971014492749
TENGOD+SHINSAL,0.5558385093167701,-0.04607729468599042,0.07129744651483771
ALL_TRADITIONAL_4,0.5502939958592132,-0.05162180814354733,0.0657529330572808
TENGOD+YONGSHIN,0.5491511387163561,-0.052764665286404444,0.06461007591442369
ALL_WITH_BASIC_RELATIONS,0.5367529330572809,-0.06516287094547968,0.05221187025534846
TENGOD+UNSEONG,0.5179344375431332,-0.0839813664596274,0.03339337474120074
