C,inner_macro,inner_p10,repeat,fold,model,kind,l1_ratio
1.0,0.4602343644010311,0.45050569800569806,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.453595170261837,0.4248677248677249,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.44964217880884555,0.4448677248677249,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.6246393524171302,0.5470546737213404,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.6148883009994122,0.5253615520282188,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.3,0.5996399176954733,0.5072839506172839,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.1,0.5964658797992132,0.5198941798941799,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.5907169990503324,0.5381481481481482,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.4750864875864875,0.40080586080586084,0,1,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.468079862524307,0.41348901098901103,0,1,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.03,0.45399708316374987,0.4535612535612536,0,1,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.44834825668159,0.3997893772893773,0,1,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.1,0.4302016913128024,0.36980599647266316,0,1,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.6074673269117713,0.5898992673992675,0,1,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.3,0.5915332609777054,0.5458906525573192,0,1,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.566731673676118,0.5030335097001764,0,1,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
3.0,0.5622902817347261,0.5199358974358974,0,1,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.03,0.5262520915298693,0.5011816578483245,0,1,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
1.0,0.49809896893230227,0.4265842490842491,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
1.0,0.487408990186768,0.43185897435897436,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
1.0,0.4810264324153213,0.39096153846153847,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.3,0.46725003391670056,0.3954029304029304,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.4501972821417266,0.4217673992673992,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.3,0.44980045674490116,0.40748168498168497,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
1.0,0.44817641206530096,0.3277197802197802,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.3,0.4443042554153666,0.4009432234432235,0,1,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
