model,subject_macro_mean,subject_macro_std,repeat_min
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,0.46847069597069596,0.18192975554100846,0.3501602564102564
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,0.5243658424908425,0.02503438331688294,0.48667582417582417
ASTRO__TG10_RIDGE_DIAGNOSTIC,0.521474358974359,0.03888645397201076,0.4936927655677656
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,0.5880311355311355,0.07151573178440691,0.5108974358974359
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,0.619672619047619,0.03695286198258297,0.5817422161172161
NPLUS__TG10_RIDGE_DIAGNOSTIC,0.6608928571428571,0.03673961492364776,0.6034111721611721
NUISANCE_ONLY,0.7072596153846155,0.022678108510187398,0.6753548534798536
