model,subject_macro_mean,subject_macro_std,repeat_p10,repeat_min
NUISANCE_ONLY,0.6777333333333333,0.023669498369446332,0.6578452380952382,0.6558452380952382
NPLUS__TG10_RIDGE_DIAGNOSTIC,0.6557642857142857,0.023779080835350797,0.6336857142857143,0.6181190476190477
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,0.624945238095238,0.09345283500041351,0.5250523809523809,0.4708333333333334
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,0.6188047619047619,0.04341319221085347,0.5847190476190476,0.584452380952381
ASTRO__TG10_RIDGE_DIAGNOSTIC,0.5442738095238095,0.008874906182634671,0.5349119047619048,0.5322738095238095
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,0.5369428571428572,0.020507598765893014,0.5157619047619048,0.5037857142857143
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,0.46444285714285716,0.07682756122533242,0.38998333333333335,0.34041666666666665
